Label,Soft_window_feature_192,Bone_window_feature_322,Standard_window_feature_74,Standard_window_feature_1635,Bone_window_feature_154,Soft_window_feature_1546,Bone_window_feature_10,Soft_window_feature_1012,Standard_window_feature_912,Soft_window_feature_1710,Standard_window_feature_208,Standard_window_feature_273,Bone_window_feature_1857,Standard_window_feature_511,Standard_window_feature_460,Soft_window_feature_216,Bone_window_feature_1253,Bone_window_feature_1843,Standard_window_feature_1149,Soft_window_feature_1507
0,0.770457647,1.59593924,0.148898474,-1.058331269,1.214180676,0.380862515,0.596926984,0.960505914,1.753415456,0.267346958,0.444376665,2.113757989,0.007890243,-0.407177017,-0.40995017,-0.382264415,-0.123047037,1.022905918,-1.517500001,0.657071783
1,-1.025090396,-0.367847217,0.322990813,-1.377662421,-1.687741098,0.027111434,-0.539214721,-0.684466297,1.348366895,-0.330516001,-0.05068217,-1.525616137,-0.715720399,1.274795627,-0.96389217,-0.883169585,0.198591354,-0.868076921,-1.28726645,-0.004041443
1,-0.205075159,0.238566755,-1.179063828,-1.980167132,-0.163363276,-0.168123367,-0.414897835,0.207657921,-0.296087291,0.296812277,0.050354836,-0.248838718,-0.609441229,1.427708772,1.362592971,0.484962855,-0.161029361,-0.789992458,-0.493947399,1.388498455
0,1.719788095,0.666668877,0.112898533,0.454706398,0.442195054,0.258831086,-1.180206576,-1.205355565,1.181035017,-0.181176008,1.074325293,-0.685402603,-0.9689186,1.547981019,-0.286010894,-0.225360521,0.799921765,0.51721858,-0.705159202,-0.918198
0,0.160191646,1.035148084,0.733118301,0.303500021,-0.04851745,0.86134561,-0.102123199,-1.638549287,-1.009862446,0.355538101,-0.026648909,-0.39707565,0.382823332,-0.954670882,1.047620412,-1.136908202,1.077835048,-1.022573156,-0.889866343,0.874253233
0,-0.392737051,1.719798224,-1.071145841,0.329214447,-0.263794761,-0.418996033,1.495945513,-0.848309574,0.325743912,0.275742875,0.278455844,-0.933818657,-1.973122136,0.140007692,-0.468795343,2.115591929,-1.998998293,-0.209959379,-0.698828227,1.788154743
0,-0.661503385,0.125840381,0.779105575,1.133490464,0.985829626,2.889077105,-0.743737318,-0.60671628,-1.7785346,-0.998761075,0.898504569,1.157142744,0.227255858,-0.062235538,0.125240731,-0.249028467,-0.758679415,-0.327040712,0.074661989,1.121074707
1,0.634086801,-0.095431348,-0.389072567,0.443106596,-0.102877955,0.155233767,0.153771609,-0.324223258,0.52737504,1.167858079,-1.616573971,0.734315571,-0.362997805,-1.032115818,-0.105407264,-0.204887035,0.912468502,-0.953800901,-0.54557905,1.232925361
1,-0.279833317,0.544010705,-0.094809524,-0.201720662,-1.01487192,-0.021776504,1.300965586,-0.095325789,1.252440566,2.25332399,-1.002977378,1.059251675,0.178598459,0.152501349,0.464133986,-0.032000067,1.831698919,-1.955134814,1.430765097,-0.626983438
0,0.165413902,-1.434098478,0.485162396,1.234334301,0.722108178,-0.645081797,-0.235740549,0.009452619,0.104998676,1.303376399,-0.229892946,-1.307014128,-0.114032197,-0.527732939,-1.08494943,1.567312426,-0.949938931,1.031615969,0.728851012,0.988314892
0,0.833269729,0.309800196,0.645200953,0.956499829,-0.855347278,0.242925703,-0.374731529,0.382876453,-0.135470233,0.668671569,-0.746179461,-0.780488351,0.194766687,0.424473725,-1.158658197,1.259107124,0.152937699,0.506691295,-0.62850683,-0.871005905
1,0.005989195,0.350922043,-0.82972422,0.204202545,-0.283331332,1.865190051,0.300793402,0.374530314,0.301926519,0.977253178,-0.305920322,0.372884472,-0.217518115,1.075118206,-0.372227675,-0.129937805,1.004191104,0.073334718,0.233415606,-0.241247831
0,0.033168427,0.754798021,0.922950563,1.790894349,-0.887040495,-0.505346175,0.328339536,0.581875081,-0.146345184,-1.391232014,1.137141739,-0.360819226,-0.089460824,-0.04161913,0.097946965,0.091767822,-0.249205484,0.057430156,1.500308579,2.102310553
0,-0.146091993,0.174941133,0.462875025,0.185959411,-0.325487154,-2.332513888,-2.271025752,0.050756537,0.099955707,-1.785600557,-0.364267854,-0.746790589,-0.480805053,0.208475106,-1.159391084,-0.861220434,0.774552555,-0.100976714,-1.439726946,-1.129213579
1,-0.187215695,-1.16099077,0.317548125,0.798810693,-0.890987384,-0.452354044,-0.555982353,-0.682015093,2.155365043,-0.47682902,0.900238839,-0.73830775,-1.330017137,-0.890672929,1.39521725,-0.03511936,1.889631938,0.900763763,-0.961891858,-0.462334678
