Label,wavelet.LLL_glszm_region_SizeZoneNonUniformity,wavelet.HHH_glrlm_region_GrayLevelNonUniformityNormalized,wavelet.LLH_glszm_region_GrayLevelNonUniformity,wavelet.HHH_glcm_region_Imc2
1,-0.164054313,-0.343989465,2.830755218,1.099368282
1,-0.164054313,-0.304055493,-0.085415887,1.950900659
1,-0.164054313,-0.343812542,3.146489879,1.60437142
1,-0.164054313,-0.343054302,-0.624409382,0.648843648
0,1.62325988,-0.33979387,-0.257740915,0.087780012
0,-0.164054313,-0.327586207,-0.406390651,-1.133311864
0,-0.164054313,7.63413571,-0.946626981,0.05668955
1,0.535329502,-0.282647851,-0.094276424,-0.636642099
0,1.615079952,-0.23546005,0.323796393,-0.267598402
1,0.642927012,-0.34055211,0.196584345,1.186049272
0,0.694838091,-0.321419188,-0.387869479,0.316609588
0,-0.164054313,-0.287652235,-0.171110103,-1.25155619
1,-0.164054313,-0.252116055,-0.084805863,-0.769821211
1,-0.164054313,-0.34320595,1.840715019,1.830220384
0,-0.164054313,2.45138857,-0.946626981,0.592519191
1,0.418765533,0.032274484,-0.134052784,0.788785179
0,-0.164054313,-0.200808483,-0.775864968,-0.271208019
0,0.676290581,-0.326903791,0.256702251,1.238735459
0,-0.164054313,-0.104815303,-0.687321703,1.236156242
1,-0.164054313,0.45115152,-0.785639225,1.287072167
1,-0.164054313,0.117955601,-0.883381791,1.336629453
0,-0.164054313,-0.286969819,-0.624409382,2.004375197
1,-0.164054313,-0.339010356,0.305627775,1.28465653
1,-0.164054313,-0.331680703,0.357278013,-0.753985619
1,-0.164054313,-0.229950173,-0.782189487,-1.480250404
1,-0.164054313,-0.21503812,-0.785639225,0.99712348
0,-0.164054313,1.608655389,-0.852662699,-0.117055755
1,-0.164054313,0.762939797,0.421155655,-0.180425803
1,-0.164054313,-0.09824389,-0.440665463,0.190529308
0,-0.164054313,-0.298040123,-0.528702767,-1.689351288
0,-0.164054313,-0.343483972,0.505093373,1.415559536
1,-0.164054313,-0.338302665,1.254811582,-1.636373775
0,-0.164054313,0.283302465,-0.911209674,-0.418097084
0,-0.164054313,-0.324249951,0.640604062,-1.522894806
1,-0.164054313,-0.342093865,2.14019824,-0.237325567
0,0.002465643,1.2240508,-0.735809682,0.368859771
1,-0.164054313,-0.33112466,-0.55285693,0.722496535
1,-0.164054313,2.690234162,-0.820136601,2.95245287
0,-0.164054313,-0.276354459,-0.848596937,0.36489123
0,-0.164054313,-0.254340225,-0.785639225,-0.71171896
0,-0.164054313,-0.309337898,-0.194471993,-1.345169984
1,-0.164054313,-0.34358507,-0.047533364,-0.765598193
1,-0.164054313,-0.302058794,-0.423416775,0.035127126
0,-0.164054313,-0.275747867,-0.630401032,0.813052077
0,-0.164054313,-0.064401112,-0.693646222,0.288440689
1,-0.164054313,-0.344090564,6.370890238,0.981836804
0,-0.164054313,-0.330442244,0.946062074,-0.293950065
1,-0.164054313,-0.314392831,-0.259061418,0.919490579
1,-0.164054313,-0.3356741,0.406412045,-0.861795955
1,-0.164054313,-0.342751006,-0.467770544,0.700727002
1,-0.164054313,-0.222645795,-0.608716967,-0.959020901
1,-0.164054313,-0.31942249,0.699362722,-1.518053386
1,-0.164054313,-0.332944436,0.34400367,-1.041065505
0,-0.164054313,-0.343104852,0.397377839,-0.826224678
0,-0.164054313,-0.273751169,-0.725268817,-0.728038278
0,-0.164054313,0.353844057,-0.55285693,-0.984632099
1,-0.164054313,-0.333930148,-0.686205611,0.145886973
0,-0.164054313,-0.340248814,0.605097855,0.045923485
1,-0.164054313,-0.327409284,-0.695453227,2.095478348
0,-0.086345,-0.343610345,1.304901772,1.785190243
1,11.82053241,-0.335118057,-0.056244702,-0.567519326
1,-0.164054313,-0.342927929,0.255031623,0.51857197
0,-0.164054313,-0.3016544,-0.632633215,0.419468455
1,-0.164054313,-0.342422436,0.431092557,-0.416079378
1,-0.164054313,-0.309717018,-0.624076513,1.027805782
1,0.030218969,-0.310500533,-0.491261615,-0.550415662
1,0.335505555,-0.326044452,-0.775864968,1.746787762
0,0.069073626,-0.272992929,-0.722558309,1.310389541
0,-0.164054313,-0.142322907,-0.552274621,0.019229559
0,-0.164054313,-0.343155401,2.197438682,-2.060633909
1,-0.047490344,-0.331074111,0.898268489,0.506875469
0,-0.164054313,-0.325564234,1.139560776,0.021300692
0,-0.164054313,-0.327409284,-0.364771236,0.448666904
1,-0.164054313,-0.315226895,0.491749333,-0.755782667
0,-0.164054313,-0.328243348,-0.220572203,-0.610212984
1,-0.164054313,-0.133224027,-0.424687731,-1.197127004
0,-0.164054313,-0.295335733,-0.490288612,-0.605167401
1,-0.164054313,-0.330619167,-0.722558309,0.835610272
0,-0.164054313,-0.332337844,-0.196719732,0.728868886
0,-0.164054313,-0.279513793,-0.566055926,1.397764914
0,-0.164054313,-0.266194044,-0.812547178,-0.704188441
0,-0.164054313,-0.327080714,0.091902651,0.665533488
0,-0.164054313,-0.270162166,-0.588839907,-0.421715519
0,-0.164054313,3.679383481,-0.911209674,-0.770767187
0,-0.164054313,1.680359616,-0.845434677,-0.630748535
0,-0.164054313,3.485375147,-0.751831796,-0.325143666
0,-0.164054313,0.864821975,-0.165548888,-1.107220593
0,-0.164054313,0.040817321,-0.360776802,-0.70173
1,-0.164054313,-0.34282683,2.078601259,0.602831679
0,-0.164054313,5.969495673,-0.946626981,-1.27846457
0,-0.164054313,0.026663509,-0.874346764,-0.810563868
0,-0.164054313,2.101460822,0.477125196,-0.920493038
1,-0.164054313,0.728616801,-0.60088661,-0.431647754
1,-0.164054313,-0.317021397,-0.345797679,0.272145502
0,-0.164054313,0.067633742,-0.874346764,-0.793528093
1,-0.164054313,-0.34282683,0.209856488,-0.264902892
0,-0.164054313,-0.237001805,-0.21758243,-0.619473535
1,-0.164054313,-0.33827739,0.963377748,-0.032414256
0,-0.164054313,-0.062353864,-0.786405833,-1.10344694
1,-0.164054313,-0.324527972,0.335018187,-0.407122187
0,-0.164054313,-0.300390666,-0.55285693,0.792829471
1,-0.164054313,-0.257170988,-0.383169836,0.371374025
0,-0.164054313,-0.322708196,-0.266313859,0.400509793
1,-0.164054313,0.085528205,-0.006984162,-0.08341529
0,-0.164054313,-0.343079577,1.019224443,0.146820956
0,-0.164054313,-0.340274089,0.279021178,0.527586509
0,-0.164054313,-0.340501561,0.82423833,0.40077896
1,-0.164054313,-0.34320595,1.599973295,2.21529728
1,-0.164054313,-0.341285076,3.300383333,0.104201266
1,-0.164054313,-0.331604879,0.35175956,2.038915597
0,-0.164054313,-0.339440025,-0.211175775,0.157208719
0,-0.164054313,-0.307442298,0.074331081,1.296571925
0,-0.164054313,-0.341082878,1.316991118,1.482929248
1,-0.164054313,-0.282066534,-0.59624863,0.234297082
0,-0.164054313,-0.217616136,-0.498345076,-1.270758811
1,-0.164054313,-0.32397193,1.196948775,2.196958658
0,-0.164054313,-0.277719291,-0.064896483,-0.193808162
1,-0.164054313,-0.336078495,1.252161715,1.559212558
0,-0.164054313,-0.333348831,0.200219126,-0.282966184
1,-0.164054313,-0.337266404,-0.211175775,-0.078203866
0,-0.164054313,-0.15111849,-0.417897195,0.374875501
0,-0.164054313,-0.245241346,-0.387869479,-1.612638032
1,-0.164054313,-0.342472985,1.86531279,0.341049755
1,-0.164054313,-0.04602643,-0.659419413,1.454579237
1,-0.164054313,0.556647975,-0.845434677,-0.571528533
0,-0.164054313,-0.338782884,-0.344681587,-0.456239943
0,-0.164054313,-0.233817197,0.314604512,-0.781873483
0,-0.164054313,-0.266800636,-0.381373098,-0.250739485
0,-0.164054313,-0.335573001,-0.443282506,0.474459753
0,0.159734491,0.158850011,-0.596918285,-1.185032427
0,1.107552623,-0.09629774,-0.387869479,-0.039060505
1,-0.164054313,-0.230025997,-0.378825722,0.078362895
0,-0.164054313,-0.208315059,-0.722558309,-0.477040096
1,-0.164054313,-0.261998449,-0.693646222,0.068588368
0,-0.164054313,-0.284846747,-0.761756426,-0.540789941
1,-0.164054313,-0.337594975,1.343481338,-0.249846936
0,-0.164054313,-0.337721348,1.372839346,0.066884043
0,-0.164054313,-0.332413668,0.31068739,-0.779925324
0,-0.164054313,-0.286590699,-0.165548888,-0.617595734
0,-0.164054313,-0.336230143,1.135010106,0.010397127
0,-0.164054313,-0.109541665,-0.473662954,-1.017167823
0,-0.164054313,0.412708754,-0.880851983,0.069556606
1,1.131100899,-0.333829049,-0.424687731,-0.36705028
0,-0.164054313,-0.301401653,-0.632633215,-0.147622281
0,-0.164054313,0.322174901,-0.761756426,-1.048888347
0,-0.164054313,-0.331074111,0.09059413,0.661356552
1,-0.164054313,-0.343332324,0.696042463,0.271065264
1,0.002465643,-0.31980161,-0.480018026,-1.489471285
0,-0.164054313,-0.208239235,-0.726728321,1.705173491
0,-0.164054313,0.177502714,-0.848596937,0.742236307
1,2.400353007,-0.30956537,-0.024397124,-1.014623173
0,-0.164054313,0.002222907,-0.298363786,-1.362008278
0,-0.164054313,-0.330897188,-0.047533364,0.975078389
0,-0.164054313,-0.270895132,-0.061194325,-1.843697569
0,-0.164054313,-0.343787268,2.428818536,-1.033763383
0,-0.164054313,-0.129685574,-0.852662699,-0.629997821
0,-0.164054313,0.30374967,-0.725268817,-1.48798517
0,-0.164054313,-0.269631398,-0.55285693,-1.255113874
0,-0.164054313,-0.30203352,-0.756891411,-1.208219253
1,-0.164054313,-0.322126879,0.538370073,-1.249087915
